代码,名称,决策建议,现价,连跌天数,连跌%,周幅%,月幅%,年幅%,MA5偏离%,量比,成交额(万),日期
512700,银行ETF南方,观察,1.603,1,-0.68,-0.68,-1.05,10.78,-0.46,1.18,14912.47,2026-01-07
512800,银行ETF,观察,0.819,1,-0.73,-0.61,-0.97,10.08,-0.39,1.0,74115.74,2026-01-07
515020,银行ETF基金,观察,1.74,1,-0.51,-0.51,-0.74,10.9,-0.37,1.0,8817.88,2026-01-07
512730,银行ETF指数,观察,1.681,1,-0.53,-0.41,-0.71,10.3,-0.36,0.92,970.62,2026-01-07
512820,银行ETF龙头,观察,1.439,1,-0.55,-0.48,-0.76,10.27,-0.32,0.95,10045.21,2026-01-07
512890,红利低波ETF,观察,1.17,1,-0.34,-0.51,-1.68,4.28,-0.31,0.7,53770.83,2026-01-07
515290,银行ETF天弘,观察,1.472,1,-0.41,-0.47,-0.67,11.09,-0.3,0.85,11206.73,2026-01-07
515300,300红利低波ETF,观察,1.298,1,-0.46,-0.08,-0.92,-2.48,-0.06,0.8,12036.43,2026-01-07
515100,红利低波100ETF,观察,1.435,1,-0.21,-0.21,-2.31,2.94,0.08,1.23,16787.46,2026-01-07
512530,沪深300红利ETF,观察,1.597,1,-0.19,0.69,0.38,5.83,0.23,0.8,278.99,2026-01-07
515730,家居家电ETF,观察,1.036,1,-0.48,1.37,0.97,,0.27,0.86,736.59,2026-01-07
510900,恒生中国企业ETF,观察,1.166,1,-1.35,1.83,-1.02,21.46,0.33,0.97,19090.96,2026-01-07
512600,消费ETF嘉实,观察,0.684,1,-0.44,0.59,0.0,-2.43,0.38,1.27,3900.76,2026-01-07
515650,消费50ETF,观察,1.197,1,-0.42,0.67,0.42,1.79,0.39,0.76,7260.43,2026-01-07
512750,基本面50ETF,观察,1.517,1,-0.65,0.6,1.13,6.23,0.49,0.78,313.53,2026-01-07
512550,富时A50ETF嘉实,观察,1.846,1,-0.59,1.6,2.21,19.56,0.5,0.47,524.24,2026-01-07
512690,酒ETF,观察,0.547,1,-0.55,0.74,-1.8,-11.77,0.55,1.24,104321.84,2026-01-07
515170,食品饮料ETF,观察,0.558,1,-0.36,0.72,0.18,-7.31,0.61,1.43,16549.6,2026-01-07
515710,食品饮料ETF华宝,观察,0.595,1,-0.34,0.85,0.34,-6.59,0.68,1.11,3849.77,2026-01-07
510630,消费30ETF,观察,0.933,1,-0.32,1.3,1.52,-4.01,0.69,1.28,2988.03,2026-01-07
512150,A50ETF,观察,1.95,1,-0.46,1.46,1.83,17.9,0.7,1.24,144.52,2026-01-07
