代码,名称,决策建议,连跌天数,连跌%,周幅%,月幅%,年幅%,MA5偏离%,量比,成交额(万),日期
512730,银行ETF指数,观察,1,-0.59,-0.47,-0.77,10.24,-0.4,0.59,629.16,2026-01-07
512820,银行ETF龙头,观察,1,-0.62,-0.55,-0.83,10.19,-0.37,0.52,5536.52,2026-01-07
515020,银行ETF基金,观察,1,-0.51,-0.51,-0.74,10.9,-0.37,0.57,5050.47,2026-01-07
512700,银行ETF南方,观察,1,-0.56,-0.56,-0.93,10.92,-0.36,0.55,6973.13,2026-01-07
515290,银行ETF天弘,观察,1,-0.47,-0.54,-0.74,11.02,-0.35,0.43,5717.37,2026-01-07
512800,银行ETF,观察,1,-0.61,-0.49,-0.85,10.22,-0.29,0.59,43609.96,2026-01-07
512890,红利低波ETF,观察,1,-0.26,-0.43,-1.6,4.37,-0.24,0.41,31403.69,2026-01-07
515300,300红利低波ETF,观察,1,-0.38,0.0,-0.84,-2.4,0.0,0.5,7508.34,2026-01-07
515730,家居家电ETF,观察,1,-0.67,1.17,0.78,,0.12,0.46,392.34,2026-01-07
515100,红利低波100ETF,观察,1,-0.14,-0.14,-2.25,3.01,0.14,0.68,9354.92,2026-01-07
512530,沪深300红利ETF,观察,1,-0.13,0.76,0.44,5.9,0.28,0.56,196.17,2026-01-07
515650,消费50ETF,观察,1,-0.42,0.67,0.42,1.79,0.39,0.42,4019.48,2026-01-07
512600,消费ETF嘉实,观察,1,-0.29,0.74,0.15,-2.28,0.5,0.47,1454.77,2026-01-07
510900,恒生中国企业ETF,观察,1,-1.1,2.1,-0.76,21.77,0.53,0.61,12094.02,2026-01-07
512690,酒ETF,观察,1,-0.55,0.74,-1.8,-11.77,0.55,0.49,40871.25,2026-01-07
515170,食品饮料ETF,观察,1,-0.36,0.72,0.18,-7.31,0.61,0.82,9423.85,2026-01-07
515710,食品饮料ETF华宝,观察,1,-0.34,0.85,0.34,-6.59,0.68,0.57,1982.16,2026-01-07
512750,基本面50ETF,观察,1,-0.33,0.93,1.47,6.58,0.75,0.47,188.19,2026-01-07
515180,红利ETF易方达,观察,1,-0.07,1.61,1.16,5.95,0.78,0.37,12290.51,2026-01-07
510630,消费30ETF,观察,1,-0.11,1.52,1.74,-3.81,0.86,0.77,1795.34,2026-01-07
512550,富时A50ETF嘉实,观察,1,-0.05,2.15,2.77,20.21,0.94,0.29,328.86,2026-01-07
512130,全指现金流ETF鹏华,观察,1,-0.56,2.37,3.3,,0.95,1.83,145.2,2026-01-07
510030,价值ETF,观察,1,-0.26,1.89,2.91,11.63,1.09,0.23,125.17,2026-01-07
510230,金融ETF,观察,1,-0.34,2.46,4.14,16.35,1.32,0.47,2591.77,2026-01-07
512640,金融地产ETF嘉实,观察,1,-0.3,2.67,4.26,12.71,1.47,0.94,391.71,2026-01-07
510760,上证综指ETF,观察,1,-0.08,3.11,4.65,24.93,1.5,0.52,8141.37,2026-01-07
510330,沪深300ETF华夏,观察,1,-0.1,3.25,3.85,23.36,1.52,0.82,42609.44,2026-01-07
510360,沪深300ETF基金,观察,1,-0.05,3.23,4.0,22.82,1.54,0.54,4534.46,2026-01-07
510310,沪深300ETF易方达,观察,1,-0.11,3.27,3.86,23.79,1.54,0.28,35540.64,2026-01-07
515310,沪深300指数ETF,观察,1,-0.07,3.18,3.86,22.91,1.54,0.41,959.4,2026-01-07
510300,沪深300ETF,观察,1,-0.06,3.21,3.89,23.39,1.55,0.56,223047.67,2026-01-07
510390,沪深300ETF平安,观察,1,-0.04,3.28,3.58,23.79,1.58,0.82,484.56,2026-01-07
515660,沪深300ETF国联安,观察,1,-0.03,3.15,3.89,23.25,1.6,0.16,197.97,2026-01-07
510350,沪深300ETF工银,观察,1,-0.04,3.18,3.98,24.12,1.61,0.15,1114.79,2026-01-07
515720,金融科技ETF富国,观察,1,-1.44,4.14,6.22,,1.64,0.55,1148.32,2026-01-07
515920,智能消费ETF,观察,1,-0.08,4.45,4.9,36.91,1.77,0.53,223.86,2026-01-07
515400,大数据ETF,观察,1,-0.51,5.51,3.72,14.0,1.86,0.84,5665.24,2026-01-07
510850,上证50ETF工银,观察,1,-0.05,3.78,5.26,21.22,1.88,0.2,897.99,2026-01-07
510050,上证50ETF,观察,1,-0.15,3.89,4.73,20.34,1.88,0.48,103950.37,2026-01-07
510100,上证50ETF易方达,观察,1,-0.06,3.93,5.0,20.87,1.92,0.34,20304.43,2026-01-07
510800,50ETF基金,观察,1,-0.13,4.2,4.94,19.52,1.93,0.38,246.1,2026-01-07
515790,光伏ETF,观察,1,-0.1,1.93,3.83,28.1,1.95,0.66,28593.02,2026-01-07
515230,软件ETF,观察,1,-1.16,6.24,6.12,15.13,2.05,0.57,12463.52,2026-01-07
512720,计算机ETF,观察,1,-0.56,5.91,4.24,15.79,2.18,0.28,2854.37,2026-01-07
515010,券商ETF基金,观察,1,-0.82,4.36,4.44,6.65,2.37,0.64,4851.74,2026-01-07
512000,券商ETF,观察,1,-0.81,4.46,4.46,5.91,2.39,0.55,82759.01,2026-01-07
510200,上证券商ETF,观察,1,-0.37,4.12,4.68,7.4,2.4,0.39,389.57,2026-01-07
512900,证券ETF南方,观察,1,-0.71,4.47,4.73,5.97,2.45,0.39,2312.28,2026-01-07
512570,证券ETF易方达,观察,1,-0.78,4.41,4.58,6.94,2.45,0.62,5240.78,2026-01-07
515850,证券ETF富国,观察,1,-0.63,4.45,4.93,7.37,2.45,0.5,1425.01,2026-01-07
515560,证券ETF建信,观察,1,-0.6,4.57,4.85,6.67,2.55,0.33,476.93,2026-01-07
512880,证券ETF,观察,1,-0.7,4.5,4.93,6.33,2.57,0.65,192047.28,2026-01-07
512680,军工ETF龙头,观察,1,-0.07,7.52,19.44,39.62,3.09,0.46,10524.34,2026-01-07
515250,智能汽车ETF,观察,1,-0.08,7.51,10.7,29.58,3.15,1.05,10952.59,2026-01-07
512810,军工ETF华宝,观察,1,-0.24,7.42,19.49,40.23,3.22,0.61,4870.1,2026-01-07
512560,军工ETF易方达,观察,1,-0.11,7.44,19.65,41.84,3.23,0.6,4206.75,2026-01-07
